gene_symbol_DLV,gene_symbol_original,gene_name,aeid,aenm,signal_direction,analysis_direction,assay_component_endpoint_desc,gene_direction
AHR,AHR,aryl hydrocarbon receptor,63,ATG_Ahr_CIS_up,gain,positive,"Data from the assay component ATG_Ahr_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_Ahr_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene AHR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic helix-loop-helix protein"".",Activation
FOS,FOS,FBJ murine osteosarcoma viral oncogene homolog,1401,ATG_AP_1_CIS_dn,loss,negative,ATG_AP_1_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
JUN,JUN,jun proto-oncogene,1401,ATG_AP_1_CIS_dn,loss,negative,ATG_AP_1_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
FOS,FOS,FBJ murine osteosarcoma viral oncogene homolog,64,ATG_AP_1_CIS_up,gain,positive,"Data from the assay component ATG_AP_1_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_1_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOS and JUN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic leucine zipper"".",Activation
JUN,JUN,jun proto-oncogene,64,ATG_AP_1_CIS_up,gain,positive,"Data from the assay component ATG_AP_1_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_1_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOS and JUN. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic leucine zipper"".",Activation
TFAP2A,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),1402,ATG_AP_2_CIS_dn,loss,negative,ATG_AP_2_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
TFAP2B,TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),1402,ATG_AP_2_CIS_dn,loss,negative,ATG_AP_2_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
TFAP2D,TFAP2D,transcription factor AP-2 delta (activating enhancer binding protein 2 delta),1402,ATG_AP_2_CIS_dn,loss,negative,ATG_AP_2_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
TFAP2A,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),65,ATG_AP_2_CIS_up,gain,positive,"Data from the assay component ATG_AP_2_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_2_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TFAP2A and TFAP2B and TFAP2D. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic helix-turn-helix leucine zipper"".",Activation
TFAP2B,TFAP2B,transcription factor AP-2 beta (activating enhancer binding protein 2 beta),65,ATG_AP_2_CIS_up,gain,positive,"Data from the assay component ATG_AP_2_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_2_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TFAP2A and TFAP2B and TFAP2D. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic helix-turn-helix leucine zipper"".",Activation
TFAP2D,TFAP2D,transcription factor AP-2 delta (activating enhancer binding protein 2 delta),65,ATG_AP_2_CIS_up,gain,positive,"Data from the assay component ATG_AP_2_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AP_2_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TFAP2A and TFAP2B and TFAP2D. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic helix-turn-helix leucine zipper"".",Activation
AR,AR,androgen receptor,1403,ATG_AR_TRANS_dn,loss,negative,ATG_AR_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
AR,AR,androgen receptor,115,ATG_AR_TRANS_up,gain,positive,"Data from the assay component ATG_AR_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_AR_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene AR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
SMAD1,SMAD1,SMAD family member 1,1404,ATG_BRE_CIS_dn,loss,negative,ATG_BRE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
SMAD1,SMAD1,SMAD family member 1,66,ATG_BRE_CIS_up,gain,positive,"Data from the assay component ATG_BRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_BRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene SMAD1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""Smad protein"".",Activation
CEBPB,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",1410,ATG_C_EBP_CIS_dn,loss,negative,ATG_C_EBP_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
CEBPB,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",67,ATG_C_EBP_CIS_up,gain,positive,"Data from the assay component ATG_C_EBP_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_C_EBP_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene CEBPB. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic leucine zipper"".",Activation
NR1I3,NR1I3,"nuclear receptor subfamily 1, group I, member 3",1405,ATG_CAR_TRANS_dn,loss,negative,ATG_CAR_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR1I3,NR1I3,"nuclear receptor subfamily 1, group I, member 3",116,ATG_CAR_TRANS_up,gain,positive,"Data from the assay component ATG_CAR_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_CAR_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1I3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
NR2F1,NR2F1,"nuclear receptor subfamily 2, group F, member 1",1407,ATG_COUP_TF1_TRANS2_dn,loss,negative,ATG_COUP_TF1_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR2F1,NR2F1,"nuclear receptor subfamily 2, group F, member 1",1357,ATG_COUP_TF1_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1357 -- ATG_COUP_TF1_TRANS2_up,Activation
NR2F2,NR2F2,"nuclear receptor subfamily 2, group F, member 2",1408,ATG_COUP_TF2_TRANS2_dn,loss,negative,ATG_COUP_TF2_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR2F2,NR2F2,"nuclear receptor subfamily 2, group F, member 2",1350,ATG_COUP_TF2_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1350 -- ATG_COUP_TF2_TRANS2_up,Activation
CREB3,CREB3,cAMP responsive element binding protein 3,1409,ATG_CRE_CIS_dn,loss,negative,ATG_CRE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
CREB3,CREB3,cAMP responsive element binding protein 3,69,ATG_CRE_CIS_up,gain,positive,"Data from the assay component ATG_CRE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_CRE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene CREB3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic leucine zipper"".",Activation
NR0B1,NR0B1,"nuclear receptor subfamily 0, group B, member 1",1411,ATG_DAX1_TRANS2_dn,loss,negative,ATG_DAX1_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR0B1,NR0B1,"nuclear receptor subfamily 0, group B, member 1",1360,ATG_DAX1_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1360 -- ATG_DAX1_TRANS2_up,Activation
NR1H2,NR1H2,"nuclear receptor subfamily 1, group H, member 2",1412,ATG_DR4_LXR_CIS_dn,loss,negative,ATG_DR4_LXR_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR1H3,NR1H3,"nuclear receptor subfamily 1, group H, member 3",1412,ATG_DR4_LXR_CIS_dn,loss,negative,ATG_DR4_LXR_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR1H2,NR1H2,"nuclear receptor subfamily 1, group H, member 2",70,ATG_DR4_LXR_CIS_up,gain,positive,"Data from the assay component ATG_DR4_LXR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR4_LXR_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H2 and NR1H3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
NR1H3,NR1H3,"nuclear receptor subfamily 1, group H, member 3",70,ATG_DR4_LXR_CIS_up,gain,positive,"Data from the assay component ATG_DR4_LXR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR4_LXR_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H2 and NR1H3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
RARA,RARA,"retinoic acid receptor, alpha",1413,ATG_DR5_CIS_dn,loss,negative,ATG_DR5_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
RARB,RARB,"retinoic acid receptor, beta",1413,ATG_DR5_CIS_dn,loss,negative,ATG_DR5_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
RARG,RARG,"retinoic acid receptor, gamma",1413,ATG_DR5_CIS_dn,loss,negative,ATG_DR5_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
RARA,RARA,"retinoic acid receptor, alpha",71,ATG_DR5_CIS_up,gain,positive,"Data from the assay component ATG_DR5_RAR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR5_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA and RARB and RARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
RARB,RARB,"retinoic acid receptor, beta",71,ATG_DR5_CIS_up,gain,positive,"Data from the assay component ATG_DR5_RAR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR5_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA and RARB and RARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
RARG,RARG,"retinoic acid receptor, gamma",71,ATG_DR5_CIS_up,gain,positive,"Data from the assay component ATG_DR5_RAR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_DR5_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA and RARB and RARG. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""non-steroidal"".",Activation
USF1,USF1,upstream transcription factor 1,1424,ATG_E_Box_CIS_dn,loss,negative,ATG_E_Box_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
USF1,USF1,upstream transcription factor 1,72,ATG_E_Box_CIS_up,gain,positive,"Data from the assay component ATG_E_Box_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_E_Box_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene USF1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""basic helix-loop-helix protein"".",Activation
E2F1,E2F1,E2F transcription factor 1,1414,ATG_E2F_CIS_dn,loss,negative,ATG_E2F_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
E2F1,E2F1,E2F transcription factor 1,73,ATG_E2F_CIS_up,gain,positive,"Data from the assay component ATG_E2F_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_E2F_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene E2F1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""E2F transcription factor"".",Activation
NR2F6,NR2F6,"nuclear receptor subfamily 2, group F, member 6",1415,ATG_EAR2_TRANS2_dn,loss,negative,ATG_EAR2_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
NR2F6,NR2F6,"nuclear receptor subfamily 2, group F, member 6",1370,ATG_EAR2_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1370 -- ATG_EAR2_TRANS2_up,Activation
EGR1,EGR1,early growth response 1,1416,ATG_EGR_CIS_dn,loss,negative,ATG_EGR_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
EGR1,EGR1,early growth response 1,74,ATG_EGR_CIS_up,gain,positive,"Data from the assay component ATG_EGR_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_EGR_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene EGR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""zinc finger"".",Activation
ESR1,ESR1,estrogen receptor 1,1417,ATG_ERa_TRANS_dn,loss,negative,ATG_ERa_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
ESR1,ESR1,estrogen receptor 1,117,ATG_ERa_TRANS_up,gain,positive,"Data from the assay component ATG_ERa_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_ERa_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
ESR2,ESR2,estrogen receptor 2 (ER beta),1418,ATG_ERb_TRANS2_dn,loss,negative,ATG_ERb_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
ESR2,ESR2,estrogen receptor 2 (ER beta),1367,ATG_ERb_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1367 -- ATG_ERb_TRANS2_up,Activation
ESR1,ESR1,estrogen receptor 1,1419,ATG_ERE_CIS_dn,loss,negative,ATG_ERE_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
ESR1,ESR1,estrogen receptor 1,75,ATG_ERE_CIS_up,gain,positive,"Data from the assay component ATG_ERE_CIS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_ERE_CIS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
ESRRA,ESRRA,estrogen-related receptor alpha,1420,ATG_ERRa_TRANS_dn,loss,negative,ATG_ERRa_TRANS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
ESRRA,ESRRA,estrogen-related receptor alpha,118,ATG_ERRa_TRANS_up,gain,positive,"Data from the assay component ATG_ERRa_TRANS was analyzed into 1 assay endpoint. 
This assay endpoint, ATG_ERRa_TRANS_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene ESRRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
ESRRB,ESRRB,estrogen-related receptor beta,1421,ATG_ERRb_TRANS2_dn,loss,negative,ATG_ERRb_TRANS2_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
ESRRB,ESRRB,estrogen-related receptor beta,1355,ATG_ERRb_TRANS2_up,gain,positive,inducible reporter assay using RT-PCR and Capillary electrophoresis to monitor transcription factor in HepG2 cell line: AEID1355 -- ATG_ERRb_TRANS2_up,Activation
